seq,hypothesis,model,label,q,policy,quota,category_cap,factor_count,cumulative,cagr,mdd,turnover,max_factor_weight,mean_herfindahl,progress,ledger,report,run_dir
16,quota-2-11-q40-preserve-scores,baseline_mean,baseline_mean,0.4,quota,2:11,,13,9.289577465916054,0.07577148240498865,-0.20677070432241762,0.14459948516070617,0.2408396461168567,0.13202413833326326,True,reports/factor_router_auto_16_quota2x11-q40_20260529T151702Z.json,reports/factor_router_auto_16_quota2x11-q40_20260529T151702Z.md,experiments/ddqm2_factor_router_auto_16_quota2x11-q40_20260529T151702Z/factor_router_auto_16_quota2x11-q40_20260529T151702Z_baseline_mean_q40_n13_polquota_quota2x11_macroddqm2_25x3_us_macro_mw0p0
17,quota-1-12-q40-preserve-scores,baseline_mean,baseline_mean,0.4,quota,1:12,,13,7.882552484103858,0.0708267199552064,-0.1713575808504012,0.14585754119609812,0.2682803897837274,0.1431508594703186,True,reports/factor_router_auto_17_quota1x12-q40_20260529T152859Z.json,reports/factor_router_auto_17_quota1x12-q40_20260529T152859Z.md,experiments/ddqm2_factor_router_auto_17_quota1x12-q40_20260529T152859Z/factor_router_auto_17_quota1x12-q40_20260529T152859Z_baseline_mean_q40_n13_polquota_quota1x12_macroddqm2_25x3_us_macro_mw0p0
18,quota-3-10-q20-preserve-scores,baseline_mean,baseline_mean,0.2,quota,3:10,,13,95.0200904273914,0.15374694006783507,-0.3926804720625612,0.6472305707901498,0.1381956171540855,0.09635869512901317,True,reports/factor_router_auto_18_quota3x10-q20_20260529T154046Z.json,reports/factor_router_auto_18_quota3x10-q20_20260529T154046Z.md,experiments/ddqm2_factor_router_auto_18_quota3x10-q20_20260529T154046Z/factor_router_auto_18_quota3x10-q20_20260529T154046Z_baseline_mean_q20_n13_polquota_quota3x10_macroddqm2_25x3_us_macro_mw0p0
19,quota-2-11-q20-preserve-scores,baseline_mean,baseline_mean,0.2,quota,2:11,,13,87.5164752984632,0.15080930941696913,-0.40794984632057796,0.6452175774366534,0.1457794071407554,0.09977174928266361,False,reports/factor_router_auto_19_quota2x11-q20_20260529T155216Z.json,reports/factor_router_auto_19_quota2x11-q20_20260529T155216Z.md,experiments/ddqm2_factor_router_auto_19_quota2x11-q20_20260529T155216Z/factor_router_auto_19_quota2x11-q20_20260529T155216Z_baseline_mean_q20_n13_polquota_quota2x11_macroddqm2_25x3_us_macro_mw0p0
20,quota-4-9-q20-preserve-scores,baseline_mean,baseline_mean,0.2,quota,4:9,,13,93.27082238898782,0.153082511200761,-0.4007866656617233,0.6484418475189806,0.139364310147118,0.09748829012044548,False,reports/factor_router_auto_20_quota4x9-q20_20260529T160344Z.json,reports/factor_router_auto_20_quota4x9-q20_20260529T160344Z.md,experiments/ddqm2_factor_router_auto_20_quota4x9-q20_20260529T160344Z/factor_router_auto_20_quota4x9-q20_20260529T160344Z_baseline_mean_q20_n13_polquota_quota4x9_macroddqm2_25x3_us_macro_mw0p0
21,ridge-quota-3-10-q20-preserve-scores,ridge,ridge,0.2,quota,3:10,,13,78.0395760339372,0.14673348453005164,-0.38360732392914243,0.6060710300372234,0.25491726076499227,0.19562628430307338,True,reports/factor_router_auto_21_ridge-quota3x10-q20_20260529T161527Z.json,reports/factor_router_auto_21_ridge-quota3x10-q20_20260529T161527Z.md,experiments/ddqm2_factor_router_auto_21_ridge-quota3x10-q20_20260529T161527Z/factor_router_auto_21_ridge-quota3x10-q20_20260529T161527Z_ridge_q20_n13_polquota_quota3x10_macroddqm2_25x3_us_macro_mw0p0
22,elasticnet-quota-3-10-q20-preserve-scores,elasticnet,elasticnet,0.2,quota,3:10,,13,235.43365639716754,0.1867851212092786,-0.21202133106542964,0.6129264261993517,0.267939175433814,0.19912288735089523,True,reports/factor_router_auto_22_elasticnet-quota3x10-q20_20260529T162656Z.json,reports/factor_router_auto_22_elasticnet-quota3x10-q20_20260529T162656Z.md,experiments/ddqm2_factor_router_auto_22_elasticnet-quota3x10-q20_20260529T162656Z/factor_router_auto_22_elasticnet-quota3x10-q20_20260529T162656Z_elasticnet_q20_n13_polquota_quota3x10_macroddqm2_25x3_us_macro_mw0p0
23,elasticnet-quota-3-10-q30-preserve-scores,elasticnet,elasticnet,0.3,quota,3:10,,13,27.099911562299663,0.11017190762016726,-0.21327823229590426,0.4078836078904591,0.32246382912541444,0.2423139190650122,True,reports/factor_router_auto_23_elasticnet-quota3x10-q30_20260529T163847Z.json,reports/factor_router_auto_23_elasticnet-quota3x10-q30_20260529T163847Z.md,experiments/ddqm2_factor_router_auto_23_elasticnet-quota3x10-q30_20260529T163847Z/factor_router_auto_23_elasticnet-quota3x10-q30_20260529T163847Z_elasticnet_q30_n13_polquota_quota3x10_macroddqm2_25x3_us_macro_mw0p0
24,elasticnet-quota-3-10-q40-preserve-scores,elasticnet,elasticnet,0.4,quota,3:10,,13,10.847985050153703,0.08053538129622262,-0.1809468920608619,0.345556405975645,0.3259705700707999,0.24216581098585058,True,reports/factor_router_auto_24_elasticnet-quota3x10-q40_20260529T165043Z.json,reports/factor_router_auto_24_elasticnet-quota3x10-q40_20260529T165043Z.md,experiments/ddqm2_factor_router_auto_24_elasticnet-quota3x10-q40_20260529T165043Z/factor_router_auto_24_elasticnet-quota3x10-q40_20260529T165043Z_elasticnet_q40_n13_polquota_quota3x10_macroddqm2_25x3_us_macro_mw0p0
25,elasticnet-quota-1-12-q40-preserve-scores,elasticnet,elasticnet,0.4,quota,1:12,,13,9.6018847515846,0.07677976337859116,-0.1731672702083249,0.35225699261824694,0.4311701124261213,0.35121246574258413,False,reports/factor_router_auto_25_elasticnet-quota1x12-q40_20260529T170240Z.json,reports/factor_router_auto_25_elasticnet-quota1x12-q40_20260529T170240Z.md,experiments/ddqm2_factor_router_auto_25_elasticnet-quota1x12-q40_20260529T170240Z/factor_router_auto_25_elasticnet-quota1x12-q40_20260529T170240Z_elasticnet_q40_n13_polquota_quota1x12_macroddqm2_25x3_us_macro_mw0p0
26,elasticnet-quota-2-11-q40-preserve-scores,elasticnet,elasticnet,0.4,quota,2:11,,13,10.424072557221276,0.07930258004088753,-0.18204393022459042,0.3490021633037307,0.366440143236213,0.27791120452111867,False,reports/factor_router_auto_26_elasticnet-quota2x11-q40_20260529T171433Z.json,reports/factor_router_auto_26_elasticnet-quota2x11-q40_20260529T171433Z.md,experiments/ddqm2_factor_router_auto_26_elasticnet-quota2x11-q40_20260529T171433Z/factor_router_auto_26_elasticnet-quota2x11-q40_20260529T171433Z_elasticnet_q40_n13_polquota_quota2x11_macroddqm2_25x3_us_macro_mw0p0
27,elasticnet-quota-4-9-q20-preserve-scores,elasticnet,elasticnet,0.2,quota,4:9,,13,234.4350515789576,0.18662774869190835,-0.21550569190663849,0.6108245642891847,0.27341347901807495,0.19988117559627605,False,reports/factor_router_auto_27_elasticnet-quota4x9-q20_20260529T172616Z.json,reports/factor_router_auto_27_elasticnet-quota4x9-q20_20260529T172616Z.md,experiments/ddqm2_factor_router_auto_27_elasticnet-quota4x9-q20_20260529T172616Z/factor_router_auto_27_elasticnet-quota4x9-q20_20260529T172616Z_elasticnet_q20_n13_polquota_quota4x9_macroddqm2_25x3_us_macro_mw0p0
28,elasticnet-quota-2-11-q20-preserve-scores,elasticnet,elasticnet,0.2,quota,2:11,,13,221.74941930496414,0.1845702813608181,-0.21434752241353205,0.6113065948312923,0.2873015025971721,0.21590832079644437,False,reports/factor_router_auto_28_elasticnet-quota2x11-q20_20260529T173755Z.json,reports/factor_router_auto_28_elasticnet-quota2x11-q20_20260529T173755Z.md,experiments/ddqm2_factor_router_auto_28_elasticnet-quota2x11-q20_20260529T173755Z/factor_router_auto_28_elasticnet-quota2x11-q20_20260529T173755Z_elasticnet_q20_n13_polquota_quota2x11_macroddqm2_25x3_us_macro_mw0p0
29,elasticnet-category-cap3-q20-preserve-scores,elasticnet,elasticnet,0.2,category_capped,,3,13,193.65696439088842,0.17957748251708816,-0.23089870845314975,0.6156624106228363,0.27107523997269456,0.1909224233836725,False,reports/factor_router_auto_29_elasticnet-categorycap3-q20_20260529T174935Z.json,reports/factor_router_auto_29_elasticnet-categorycap3-q20_20260529T174935Z.md,experiments/ddqm2_factor_router_auto_29_elasticnet-categorycap3-q20_20260529T174935Z/factor_router_auto_29_elasticnet-categorycap3-q20_20260529T174935Z_elasticnet_q20_n13_polcategory_capped_cap3_macroddqm2_25x3_us_macro_mw0p0
