run_id,model,q,split,transaction_cost_bps,borrow_bps_annual,slippage_bps,tax_proxy_rate,periods,mean_monthly_return,volatility_monthly,mean_tax_drag,cumulative_return,max_drawdown
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,0.0,0.0,0.0,383,0.0070752618750613205,0.03328850794667278,0.0,11.071800184924545,-0.43416942234073863
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,0.0,0.0,0.408,383,0.0008287020205583903,0.025497081393223497,0.00624655985450293,0.20908968513630088,-0.4558515888827881
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,0.0,10.0,0.0,383,0.006770418374476578,0.03328084850048519,0.0,9.74985905173621,-0.4376000492789921
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,0.0,10.0,0.408,383,0.0005968263941742968,0.02553330275793533,0.00617359198030228,0.10595084830175705,-0.45875882149761316
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,0.0,25.0,0.0,383,0.006313153123599462,0.033270356108371216,0.0,8.032644087012251,-0.4427092641057885
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,0.0,25.0,0.408,383,0.0002469737607685645,0.02558846063878241,0.006066179362830899,-0.03330004984011248,-0.4641832194700817
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,50.0,0.0,0.0,383,0.006658595208394654,0.03328850794667278,0.0,9.30061240307201,-0.43854002024177874
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,50.0,0.0,0.408,383,0.0005094493672616214,0.025554416208212943,0.006149145841133031,0.06932137692045548,-0.45960926608162245
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,50.0,10.0,0.0,383,0.006353751707809911,0.03328084850048519,0.0,8.172186958951402,-0.44194560832774843
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,50.0,10.0,0.408,383,0.00027581945129987693,0.025590773494967422,0.006077932256510033,-0.02258192384319946,-0.46371300648896707
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,50.0,25.0,0.0,383,0.0058964864569327965,0.033270356108371216,0.0,6.706437848155513,-0.4470175172902714
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,10.0,50.0,25.0,0.408,383,-7.559368918791959e-05,0.025646103573010122,0.005972080146120715,-0.14619963012844361,-0.4708468356034814
